Theme,Topic,Part of speech,Headword Spanish,English equivelant,
People and lifestyle,Education and work,n (m/f),jefe,"boss, manager, leader",
People and lifestyle,Education and work,n (m/f),estudiante,student,
People and lifestyle,Education and work,n (m/f),artista,"artist, performer",
People and lifestyle,Education and work,n (m/f),escritor,writer,
People and lifestyle,Education and work,n (m/f),cliente,"client, customer",
People and lifestyle,Education and work,n (m/f),abogado,lawyer,
People and lifestyle,Education and work,n (m/f),periodista,journalist,
People and lifestyle,Education and work,n (m/f),secretario,secretary,
People and lifestyle,Education and work,n (m/f),cientfico,scientist,
People and lifestyle,Education and work,n (m/f),pintor,painter,
People and lifestyle,Education and work,n (m/f),ingeniero,engineer,
People and lifestyle,Education and work,n (m/f),msico,musician,
People and lifestyle,Education and work,n (m/f),cantante,singer,
People and lifestyle,Education and work,n (m/f),influencer,influencer,
People and lifestyle,Healthy living and lifestyle,adj,rico,"rich, wealthy, tasty ",
People and lifestyle,Healthy living and lifestyle,adj,fuerte,strong,
People and lifestyle,Healthy living and lifestyle,adj,responsable,responsible,
People and lifestyle,Healthy living and lifestyle,adj,fsico,physical,
People and lifestyle,Healthy living and lifestyle,adj,serio,serious,
People and lifestyle,Healthy living and lifestyle,adj,optimista,optimistic,
People and lifestyle,Healthy living and lifestyle,adj,enfermo,"ill, sick",
People and lifestyle,Healthy living and lifestyle,adj,muerto,dead,
People and lifestyle,Healthy living and lifestyle,adj,activo,active,
People and lifestyle,Healthy living and lifestyle,adj,peligroso,dangerous,
People and lifestyle,Healthy living and lifestyle,adj,cansado,"tired, tiring ",
People and lifestyle,Healthy living and lifestyle,adj,dulce,sweet,
People and lifestyle,Healthy living and lifestyle,adj,dbil,weak,
People and lifestyle,Healthy living and lifestyle,adj,sano,"healthy, wholesome",
People and lifestyle,Healthy living and lifestyle,adj,deportivo,"sporty, sports",
People and lifestyle,Healthy living and lifestyle,adj,equilibrado,balanced,
People and lifestyle,Healthy living and lifestyle,adj,vegano,vegan,
People and lifestyle,Healthy living and lifestyle,adj,vegetariano,vegetarian,
People and lifestyle,Healthy living and lifestyle,mwp,patatas fritas,"chips, fries",
People and lifestyle,Healthy living and lifestyle,mwp,estar en forma,to be fit,
People and lifestyle,Healthy living and lifestyle,mwp,dar un paseo,"(to) go for a walk, stroll | going for a walk, stroll",
People and lifestyle,Healthy living and lifestyle,n (f),vida,life,
People and lifestyle,Healthy living and lifestyle,n (f),mano,hand,
People and lifestyle,Healthy living and lifestyle,n (f),agua,water,
People and lifestyle,Healthy living and lifestyle,n (f),cabeza,head (body part),
People and lifestyle,Healthy living and lifestyle,n (f),sociedad,society,
People and lifestyle,Healthy living and lifestyle,n (f),carrera,"career, (university) degree course, race",
People and lifestyle,Healthy living and lifestyle,n (f),enfermedad,"illness, disease",
People and lifestyle,Healthy living and lifestyle,n (f),salud,health,
People and lifestyle,Healthy living and lifestyle,n (f),energa,"energy, power",
People and lifestyle,Healthy living and lifestyle,n (f),piel,skin,
People and lifestyle,Healthy living and lifestyle,n (f),carne,meat,
People and lifestyle,Healthy living and lifestyle,n (f),comida,"food, meal, lunch",
People and lifestyle,Healthy living and lifestyle,n (f),costumbre,"custom, habit, tradition",
People and lifestyle,Healthy living and lifestyle,n (f),opcin,"option, choice",
People and lifestyle,Healthy living and lifestyle,n (f),hambre,hunger,
People and lifestyle,Healthy living and lifestyle,n (f),juventud,youth,
People and lifestyle,Healthy living and lifestyle,n (f),leche,milk,
People and lifestyle,Healthy living and lifestyle,n (f),medicina,medicine,
People and lifestyle,Healthy living and lifestyle,n (f),copa,"cup, glass",
People and lifestyle,Healthy living and lifestyle,n (f),droga,drug,
People and lifestyle,Healthy living and lifestyle,n (f),botella,bottle,
People and lifestyle,Healthy living and lifestyle,n (f),fruta,fruit,
People and lifestyle,Healthy living and lifestyle,n (f),sed,thirst,
People and lifestyle,Healthy living and lifestyle,n (f),dieta,diet,
People and lifestyle,Healthy living and lifestyle,n (f),cena,"dinner, evening meal",
People and lifestyle,Healthy living and lifestyle,n (f),grasa,"fat, grease",
People and lifestyle,Healthy living and lifestyle,n (f),bebida,drink,
People and lifestyle,Healthy living and lifestyle,n (f),naranja,orange (fruit),
People and lifestyle,Healthy living and lifestyle,n (f),manzana,apple,
People and lifestyle,Healthy living and lifestyle,n (f),sal,salt,
People and lifestyle,Healthy living and lifestyle,n (f),verdura,vegetable,
People and lifestyle,Healthy living and lifestyle,n (f),ensalada,salad,
People and lifestyle,Healthy living and lifestyle,n (f),hamburguesa,burger,
People and lifestyle,Healthy living and lifestyle,n (f),uva,grape,
People and lifestyle,Healthy living and lifestyle,n (f),paella,paella (dish usually of rice and seafood),
People and lifestyle,Healthy living and lifestyle,n (f),"bicicleta, bici","bicycle, bike",
People and lifestyle,Healthy living and lifestyle,n (fpl),tapas,"small dishes of food, bar snacks",
People and lifestyle,Healthy living and lifestyle,n (m),caf,"coffee, cafe",
People and lifestyle,Healthy living and lifestyle,n (m),ojo,eye,
People and lifestyle,Healthy living and lifestyle,n (m),amigo,friend,
People and lifestyle,Healthy living and lifestyle,n (m),cuerpo,body,
People and lifestyle,Healthy living and lifestyle,n (m),amor,love,
People and lifestyle,Healthy living and lifestyle,n (m),partido,"(sports) match, (political) party",
People and lifestyle,Healthy living and lifestyle,n (m),hermano,brother,
People and lifestyle,Healthy living and lifestyle,n (m),campo,"countryside, pitch, field",
People and lifestyle,Healthy living and lifestyle,n (m),juego,game,
People and lifestyle,Healthy living and lifestyle,n (m),pie; a pie,foot; on foot,
People and lifestyle,Healthy living and lifestyle,n (m),equipo,"team, equipment",
People and lifestyle,Healthy living and lifestyle,n (m),sol,sun,
People and lifestyle,Healthy living and lifestyle,n (m),producto,product,
People and lifestyle,Healthy living and lifestyle,n (m),aire,air,
People and lifestyle,Healthy living and lifestyle,n (m),artculo,"article, product, item",
People and lifestyle,Healthy living and lifestyle,n (m),sueo,"dream, sleep",
People and lifestyle,Healthy living and lifestyle,n (m),corazn,heart,
People and lifestyle,Healthy living and lifestyle,n (m),peso,"weight, peso (currency)",
People and lifestyle,Healthy living and lifestyle,n (m),miembro,member,
People and lifestyle,Healthy living and lifestyle,n (m),pelo,hair,
People and lifestyle,Healthy living and lifestyle,n (m),riesgo,risk,
People and lifestyle,Healthy living and lifestyle,n (m),perro,dog,
People and lifestyle,Healthy living and lifestyle,n (m),caballo,horse,
People and lifestyle,Healthy living and lifestyle,n (m),consejo,(piece of) advice,
People and lifestyle,Healthy living and lifestyle,n (m),ejercicio,exercise,
People and lifestyle,Healthy living and lifestyle,n (m),rgimen,diet,
People and lifestyle,Healthy living and lifestyle,n (m),peligro,danger,
People and lifestyle,Healthy living and lifestyle,n (m),pan,bread,
People and lifestyle,Healthy living and lifestyle,n (m),vino,wine,
People and lifestyle,Healthy living and lifestyle,n (m),diente,tooth,
People and lifestyle,Healthy living and lifestyle,n (m),ftbol,football,
People and lifestyle,Healthy living and lifestyle,n (m),deporte,sport,
People and lifestyle,Healthy living and lifestyle,n (m),vaso,(drinking) glass,
People and lifestyle,Healthy living and lifestyle,n (m),accidente,accident,
People and lifestyle,Healthy living and lifestyle,n (m),cuidado,"care, carefulness",
People and lifestyle,Healthy living and lifestyle,n (m),huevo,egg,
People and lifestyle,Healthy living and lifestyle,n (m),azcar,sugar,
People and lifestyle,Healthy living and lifestyle,n (m),baile,dance,
People and lifestyle,Healthy living and lifestyle,n (m),desayuno,breakfast,
People and lifestyle,Healthy living and lifestyle,n (m),pescado,fish,
People and lifestyle,Healthy living and lifestyle,n (m),pollo,chicken,
People and lifestyle,Healthy living and lifestyle,n (m),estrs,stress,
People and lifestyle,Healthy living and lifestyle,n (m),tomate,tomato,
People and lifestyle,Healthy living and lifestyle,n (m),baloncesto,basketball,
People and lifestyle,Healthy living and lifestyle,n (m),bocadillo,sandwich,
People and lifestyle,Healthy living and lifestyle,n (m),caramelo,sweet,
People and lifestyle,Healthy living and lifestyle,n (m),gimnasio,gym,
People and lifestyle,Healthy living and lifestyle,n (m),jamn,ham,
People and lifestyle,Healthy living and lifestyle,v,morir,(to) die | dying,
People and lifestyle,Healthy living and lifestyle,v,caer; caerse ,(to) fall | falling; (to) fall over | falling over ,
People and lifestyle,Healthy living and lifestyle,v,cambiar; cambiarse,(to) change | changing; (to) get changed | getting changed ,
People and lifestyle,Healthy living and lifestyle,v,correr,(to) run | running,
People and lifestyle,Healthy living and lifestyle,v,comer,(to) eat | eating,
People and lifestyle,Healthy living and lifestyle,v,levantar; levantarse,(to) raise | raising; (to) get up | getting up,
People and lifestyle,Healthy living and lifestyle,v,jugar,(to) play (sport/game) | playing (sport/game),
People and lifestyle,Healthy living and lifestyle,v,juego,(I) play | (I) am playing ,
People and lifestyle,Healthy living and lifestyle,v,juegas,(you) play | (you) are playing,
People and lifestyle,Healthy living and lifestyle,v,juega | ijuega!,"(she, he, it, one) plays | (she, he, it, one) is playing | (you (sing formal)) play | Play! (you (sing informal))",
People and lifestyle,Healthy living and lifestyle,v,juegan,(they) play | (they) are playing,
People and lifestyle,Healthy living and lifestyle,v,dormir; dormirse,(to) sleep | sleeping; (to) fall asleep | falling asleep,
People and lifestyle,Healthy living and lifestyle,v,participar,(to) participate | participating,
People and lifestyle,Healthy living and lifestyle,v,apoyar,(to) support | supporting,
People and lifestyle,Healthy living and lifestyle,v,cuidar,(to) take care of | taking care of,
People and lifestyle,Healthy living and lifestyle,v,costar,"(to) cost, be hard | costing, being hard",
People and lifestyle,Healthy living and lifestyle,v,probar,"(to) taste, try | tasting, trying",
People and lifestyle,Healthy living and lifestyle,v,beber,(to) drink | drinking,
People and lifestyle,Healthy living and lifestyle,v,bailar,(to) dance I dancing,
People and lifestyle,Healthy living and lifestyle,v,montar,"(to) ride, set up I riding, setting up",
People and lifestyle,Healthy living and lifestyle,v,doler,"(to) hurt, be painful I hurting, being painful",
People and lifestyle,Healthy living and lifestyle,v,lavar; lavarse,(to) wash I washing; (to) have a wash | having a wash,
People and lifestyle,Healthy living and lifestyle,v,descansar,"(to) rest, relax I resting, relaxing",
People and lifestyle,Healthy living and lifestyle,v,respirar,(to) breathe I breathing,
People and lifestyle,Healthy living and lifestyle,v,fumar,(to) smoke I smoking,
People and lifestyle,Healthy living and lifestyle,v,cenar,"(to) have dinner, tea (evening meal) | having dinner, tea (evening meal)",
People and lifestyle,Healthy living and lifestyle,v,nadar,(to) swim | swimming,
People and lifestyle,Healthy living and lifestyle,v,entrenar; entrenarse,"(to) train | training; (to) train, go training | training, going training",
People and lifestyle,Healthy living and lifestyle,n (m/f),joven,"teenager, young person",
People and lifestyle,Healthy living and lifestyle,n (m/f),mdico,doctor,
People and lifestyle,Healthy living and lifestyle,n (m/f),paciente,patient,
People and lifestyle,Identity and relationships,adj,gay,gay,
People and lifestyle,Identity and relationships,adj,grande,"big, large (m, f) (post-noun)",
People and lifestyle,Identity and relationships,adj,pequeo,"little, small, young",
People and lifestyle,Identity and relationships,adj,espaol,Spanish,
People and lifestyle,Identity and relationships,adj,largo,long,
People and lifestyle,Identity and relationships,adj,negro,black,
People and lifestyle,Identity and relationships,adj,blanco,white,
People and lifestyle,Identity and relationships,adj,rico,"rich, wealthy, tasty ",
People and lifestyle,Identity and relationships,adj,joven,young,
People and lifestyle,Identity and relationships,adj,fuerte,strong,
People and lifestyle,Identity and relationships,adj,menor,"younger, youngest",
People and lifestyle,Identity and relationships,adj,pobre,"poor, unfortunate (pre-noun), without money (post-noun)",
People and lifestyle,Identity and relationships,adj,rojo,red,
People and lifestyle,Identity and relationships,adj,francs,French,
People and lifestyle,Identity and relationships,adj,ingls,English,
People and lifestyle,Identity and relationships,adj,responsable,responsible,
People and lifestyle,Identity and relationships,adj,fsico,physical,
People and lifestyle,Identity and relationships,adj,cubano,Cuban,
People and lifestyle,Identity and relationships,adj,europeo,European,
People and lifestyle,Identity and relationships,adj,duro,"hard, resilient",
People and lifestyle,Identity and relationships,adj,alemn,German,
People and lifestyle,Identity and relationships,adj,azul,blue,
People and lifestyle,Identity and relationships,adj,verde,green,
People and lifestyle,Identity and relationships,adj,religioso,religious,
People and lifestyle,Identity and relationships,adj,mexicano,Mexican,
People and lifestyle,Identity and relationships,adj,serio,serious,
People and lifestyle,Identity and relationships,adj,civil,civil,
People and lifestyle,Identity and relationships,adj,bonito,"pretty, nice, beautiful ",
People and lifestyle,Identity and relationships,adj,trabajador,hardworking,
People and lifestyle,Identity and relationships,adj,hermoso,"beautiful, handsome ",
People and lifestyle,Identity and relationships,adj,famoso,"famous, well-known",
People and lifestyle,Identity and relationships,adj,optimista,optimistic,
People and lifestyle,Identity and relationships,adj,cristiano,Christian,
People and lifestyle,Identity and relationships,adj,argentino,Argentinian,
People and lifestyle,Identity and relationships,adj,muerto,dead,
People and lifestyle,Identity and relationships,adj,italiano,Italian,
People and lifestyle,Identity and relationships,adj,independiente,"independent, self-sufficient",
People and lifestyle,Identity and relationships,adj,tradicional,traditional,
People and lifestyle,Identity and relationships,adj,britnico,British,
People and lifestyle,Identity and relationships,adj,musical,musical,
People and lifestyle,Identity and relationships,adj,chino,Chinese,
People and lifestyle,Identity and relationships,adj,catlico,Catholic,
People and lifestyle,Identity and relationships,adj,artstico,artistic,
People and lifestyle,Identity and relationships,adj,nervioso,"nervous, uptight",
People and lifestyle,Identity and relationships,adj,colombiano,Colombian,
People and lifestyle,Identity and relationships,adj,gordo,fat,
People and lifestyle,Identity and relationships,adj,listo,"ready (after estar), clever, intelligent (after ser)",
People and lifestyle,Identity and relationships,adj,gris,grey,
People and lifestyle,Identity and relationships,adj,judo,Jewish,
People and lifestyle,Identity and relationships,adj,chileno,Chilean,
People and lifestyle,Identity and relationships,adj,dbil,weak,
People and lifestyle,Identity and relationships,adj,deportivo,"sporty, sports",
People and lifestyle,Identity and relationships,adj,alegre,"cheerful, happy, lively ",
People and lifestyle,Identity and relationships,adj,delgado,"thin, slim",
People and lifestyle,Identity and relationships,adj,feo,ugly,
People and lifestyle,Identity and relationships,adj,tonto,silly,
People and lifestyle,Identity and relationships,adj,musulmn,Muslim,
People and lifestyle,Identity and relationships,adj,rubio,"blond, fair",
People and lifestyle,Identity and relationships,adj,simptico,"nice, friendly",
People and lifestyle,Identity and relationships,adj,casado,married,
People and lifestyle,Identity and relationships,adj,gracioso,funny,
People and lifestyle,Identity and relationships,adj,guapo,good-looking,
People and lifestyle,Identity and relationships,adj,soltero,"single, unmarried",
People and lifestyle,Identity and relationships,adj,bi(sexual),bi(sexual),
People and lifestyle,Identity and relationships,adj,enojado,angry,
People and lifestyle,Identity and relationships,adj,hetero(sexual),"straight, heterosexual",
People and lifestyle,Identity and relationships,adj,marrn,brown ,
People and lifestyle,Identity and relationships,adj,moreno,"brown (hair), dark (skin)",
People and lifestyle,Identity and relationships,adj,perezoso,lazy,
People and lifestyle,Identity and relationships,adj,transgnero,transgender,
People and lifestyle,Identity and relationships,adj,vegano,vegan,
People and lifestyle,Identity and relationships,adj,vegetariano,vegetarian,
People and lifestyle,Identity and relationships,n (f),mujer,"woman, wife",
People and lifestyle,Identity and relationships,n (f),madre,mother,
People and lifestyle,Identity and relationships,n (f),familia,family,
People and lifestyle,Identity and relationships,n (f),relacin,relationship,
People and lifestyle,Identity and relationships,n (f),escuela,(primary) school,
People and lifestyle,Identity and relationships,n (f),nia,"child, young girl",
People and lifestyle,Identity and relationships,n (f),compaa,company,
People and lifestyle,Identity and relationships,n (f),hija,"daughter, child (f)",
People and lifestyle,Identity and relationships,n (f),abuela,grandmother,
People and lifestyle,Identity and relationships,n (f),pareja,"couple, partner",
People and lifestyle,Identity and relationships,n (f),tradicin,tradition,
