language,Part of speech,word,translation,word_type,gender,article,display_word,example_sentence_original,example_sentence_translation,exam_board_code,theme_name,theme_name.1,tier,is_required
es,n (m),el papel,"paper, role, part",,,el,el papel,,,AQA,People and lifestyle,Education and work,both,
es,v,continuar,(to) continue |continuing,,,,continuar,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la experiencia,experience,,,la,la experiencia,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la escuela,(primary) school,,,la,la escuela,,,AQA,People and lifestyle,Education and work,both,
es,v,aprender,(to) learn | learning,,,,aprender,,,AQA,People and lifestyle,Education and work,both,
es,v,aceptar,(to) accept | accepting,,,,aceptar,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el sueño,"dream, sleep",,,el,el sueño,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la carrera,"career, (university) degree course, race",,,la,la carrera,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el mercado,market,,,el,el mercado,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la educación,education,,,la,la educación,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),profesor,teacher,,,,profesor,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el resultado,result,,,el,el resultado,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el autor,"writer, author",,,el,el autor,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el viaje,"trip, journey",,,el,el viaje,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la mesa,table,,,la,la mesa,,,AQA,People and lifestyle,Education and work,both,
es,v,vender,(to) sell |selling,,,,vender,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el miembro,member,,,el,el miembro,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la película,"film, movie",,,la,la película,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),compañero,"classmate, group member, colleague, companion",,,,compañero,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la oportunidad,"opportunity, chance",,,la,la oportunidad,,,AQA,People and lifestyle,Education and work,both,
es,adj,inglés,English,,,,inglés,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la lengua,"tongue, language",,,la,la lengua,,,AQA,People and lifestyle,Education and work,both,
es,v,mandar,"(to) send, order | sending, ordering",,,,mandar,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),director,"headteacher, director, manager",,,,director,,,AQA,People and lifestyle,Education and work,both,
es,v,participar,(to) participate | participating,,,,participar,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la página,page,,,la,la página,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el esfuerzo,effort,,,el,el esfuerzo,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el teatro,"theatre, drama",,,el,el teatro,,,AQA,People and lifestyle,Education and work,both,
es,v,construir,(to) build |building,,,,construir,,,AQA,People and lifestyle,Education and work,both,
es,v,enseñar,"(to) teach, show| teaching, showing",,,,enseñar,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la carta,"letter, menu",,,la,la carta,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el colegio,(secondary) school,,,el,el colegio,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),policía,"police, police officer (m)",,,,policía,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la compañía,company,,,la,la compañía,,,AQA,People and lifestyle,Education and work,both,
es,adj,responsable,responsible,,,,responsable,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la prueba,"test, trial, proof",,,la,la prueba,,,AQA,People and lifestyle,Education and work,both,
es,v,apoyar,(to) support | supporting,,,,apoyar,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el negocio,business,,,el,el negocio,,,AQA,People and lifestyle,Education and work,both,
es,v,gritar,(to) shout | shouting,,,,gritar,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),médico,doctor,,,,médico,,,AQA,People and lifestyle,Education and work,both,
es,v,enviar,(to) send | sending,,,,enviar,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),modelo,model,,,,modelo,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el éxito,success,,,el,el éxito,,,AQA,People and lifestyle,Education and work,both,
es,v,cantar,(to) sing | singing,,,,cantar,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la suerte,"luck, fortune",,,la,la suerte,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la ventana,window,,,la,la ventana,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),jefe,"boss, manager, leader",,,,jefe,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el banco,"(financial) bank, bench",,,el,el banco,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la novela,novel,,,la,la novela,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la ciencias,science(s),,,la,la ciencias,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la red,"network (Internet), net (fishing)",,,la,la red (Red),,,AQA,People and lifestyle,Education and work,both,
es,n (f),la economía,"economy, economics",,,la,la economía,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el extranjero,"abroad, foreigner (m)",,,el,el extranjero,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la ropa,"clothes, clothing",,,la,la ropa,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),estudiante,student,,,,estudiante,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),artista,"artist, performer",,,,artista,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el apoyo,"support, backing",,,el,el apoyo,,,AQA,People and lifestyle,Education and work,both,
es,v,mejorar,"(to) improve, make better | improving, making better",,,,mejorar,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el edificio,building,,,el,el edificio,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el alumno,"student, pupil",,,el,el alumno,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),escritor,writer,,,,escritor,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el error,"error, mistake",,,el,el error,,,AQA,People and lifestyle,Education and work,both,
es,v,viajar,(to) travel | travelling,,,,viajar,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el ejército,army,,,el,el ejército,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el consejo,(piece of) advice,,,el,el consejo,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la revista,magazine,,,la,la revista,,,AQA,People and lifestyle,Education and work,both,
es,adj,trabajador,hardworking,,,,trabajador,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la conversación,conversation,,,la,la conversación,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la tarea,"task, chore, homework",,,la,la tarea,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la industria,industry,,,la,la industria,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el periódico,newspaper,,,el,el periódico,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la frase,"phrase, sentence",,,la,la frase,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la tecnología,technology,,,la,la tecnología,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el hospital,hospital,,,el,el hospital,,,AQA,People and lifestyle,Education and work,both,
es,v,organizar,(to) organise | organising,,,,organizar,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),cliente,"client, customer",,,,cliente,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la oficina,office,,,la,la oficina,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la caja,"box, till (in shop)",,,la,la caja,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el premio,"prize, reward, award",,,el,el premio,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el respeto,"respect, regard",,,el,el respeto,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el museo,museum,,,el,el museo,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la presión,pressure,,,la,la presión,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la nota,"grade, note, mark",,,la,la nota,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el septiembre,September,,,el,el septiembre,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el idioma,language,,,el,el idioma,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la opción,"option, choice",,,la,la opción,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la lista,"list, (school) register",,,la,la lista,,,AQA,People and lifestyle,Education and work,both,
es,v,respetar,(to) respect I respecting,,,,respetar,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el patio,"yard, playground",,,el,el patio,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),abogado,lawyer,,,,abogado,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),periodista,journalist,,,,periodista,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el dueño,"owner, landlord (m)",,,el,el dueño,,,AQA,People and lifestyle,Education and work,both,
es,v,aprobar,(to) pass (test) I passing (test),,,,aprobar,,,AQA,People and lifestyle,Education and work,both,
es,v,soñar,(to) dream I dreaming,,,,soñar,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la silla,"chair, seat",,,la,la silla,,,AQA,People and lifestyle,Education and work,both,
es,v,comunicar,(to) communicate  I  communicating,,,,comunicar,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),secretario,secretary,,,,secretario,,,AQA,People and lifestyle,Education and work,both,
es,v,pintar; pintarse,(to) paint I painting; (to) put on makeup | putting on makeup,,,,pintar; pintarse,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la regla,"rule, ruler",,,la,la regla,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el barco,"boat, ship",,,el,el barco,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la confianza,"confidence, trust",,,la,la confianza,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el avión,"plane, aeroplane",,,el,el avión,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la moda; de moda,"fashion; in fashion, fashionable",,,la,la moda; de moda,,,AQA,People and lifestyle,Education and work,both,
es,adj,educativo,educational,,,,educativo,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el empleo,"work, job, occupation",,,el,el empleo,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el fútbol,football,,,el,el fútbol,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la medicina,medicine,,,la,la medicina,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el zapato,shoe,,,el,el zapato,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la amistad,friendship,,,la,la amistad,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la profesión,profession,,,la,la profesión,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la tienda,"shop, tent",,,la,la tienda,,,AQA,People and lifestyle,Education and work,both,
es,v,callarse,"(to) be quiet, quieten down I being quiet, quietening down",,,,callarse,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el actor,actor (m),,,el,el actor,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el instituto,secondary school,,,el,el instituto,,,AQA,People and lifestyle,Education and work,both,
es,v,grabar,(to) record I recording,,,,grabar,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la entrevista,interview,,,la,la entrevista,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la bolsa,bag,,,la,la bolsa,,,AQA,People and lifestyle,Education and work,both,
es,adj,laboral,"(of) work, relating to work",,,,laboral,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la biblioteca,library,,,la,la biblioteca,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el comportamiento,behaviour,,,el,el comportamiento,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el espectáculo,"show, spectacle",,,el,el espectáculo,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el correo (electrónico),"mail, post (email)",,,el,el correo (electrónico),,,AQA,People and lifestyle,Education and work,both,
es,adj,listo,"ready (after estar), clever, intelligent (after ser)",,,,listo,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la discusión,"discussion, argument",,,la,la discusión,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),científico,scientist,,,,científico,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el puente,"bridge, long weekend",,,el,el puente,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el dibujo,"drawing, art",,,el,el dibujo,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la oferta,offer,,,la,la oferta,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el vuelo,flight,,,el,el vuelo,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el empleado,employee,,,el,el empleado,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el pantalón,trousers,,,el,el pantalón,,,AQA,People and lifestyle,Education and work,both,
es,adj,cansado,"tired, tiring",,,,cansado,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la instalación,facility,,,la,la instalación,,,AQA,People and lifestyle,Education and work,both,
es,v,votar,(to) vote I voting,,,,votar,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),pintor,painter,,,,pintor,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la camisa,shirt,,,la,la camisa,,,AQA,People and lifestyle,Education and work,both,
es,v,pelearse,(to) fight (physically) I fighting (physically),,,,pelearse,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),ingeniero,engineer,,,,ingeniero,,,AQA,People and lifestyle,Education and work,both,
es,v,diseñar,(to) design I designing,,,,diseñar,,,AQA,People and lifestyle,Education and work,both,
es,adj,deportivo,"sporty, sports",,,,deportivo,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),músico,musician,,,,músico,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),cantante,singer,,,,cantante,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el salario,salary,,,el,el salario,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el concurso,"competition, quiz",,,el,el concurso,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el deberes,homework,,,el,el deberes,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la fábrica,factory,,,la,la fábrica,,,AQA,People and lifestyle,Education and work,both,
es,adj,tonto,silly,,,,tonto,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el horario,"timetable, schedule",,,el,el horario,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el estadio,stadium,,,el,el estadio,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el ordenador,computer,,,el,el ordenador,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la vacaciones; de vacaciones,holidays; on holiday,,,la,la vacaciones; de vacaciones,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la falda,skirt,,,la,la falda,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el enfermero,nurse,,,el,el enfermero,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el paro,"unemployment, strike",,,el,el paro,,,AQA,People and lifestyle,Education and work,both,
es,n (fpl),matemáticas,maths,,,,matemáticas,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la actriz,"actor (f), actress",,,la,la actriz,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el autobús,bus,,,el,el autobús,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la geografía,geography,,,la,la geografía,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la recepción,reception,,,la,la recepción,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la asignatura,school subject,,,la,la asignatura,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el estrés,stress,,,el,el estrés,,,AQA,People and lifestyle,Education and work,both,
es,v,repasar,"(to) revise, review | revising, reviewing",,,,repasar,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la excursión,"trip, excursion",,,la,la excursión,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el acoso,bullying,,,el,el acoso,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el bolígrafo,pen,,,el,el bolígrafo,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la camarera,waitress,,,la,la camarera,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el camarero,waiter,,,el,el camarero,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el cuidador,carer,,,el,el cuidador,,,AQA,People and lifestyle,Education and work,both,
es,n (m/f),influencer,influencer,,,,influencer,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la informática,ICT,,,la,la informática,,,AQA,People and lifestyle,Education and work,both,
es,n (f),la mochila,"rucksack, school bag",,,la,la mochila,,,AQA,People and lifestyle,Education and work,both,
es,adj,online,online,,,,online,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el peluquero,hairdresser,,,el,el peluquero,,,AQA,People and lifestyle,Education and work,both,
es,adj,perezoso,lazy,,,,perezoso,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el recreo,break (at school),,,el,el recreo,,,AQA,People and lifestyle,Education and work,both,
es,mwp,medios de comunicación,media,,,,medios de comunicación,,,AQA,People and lifestyle,Education and work,both,
es,mwp,al aire libre,"in the open air, outdoors",,,,al aire libre,,,AQA,People and lifestyle,Education and work,both,
es,n (m),el Bachillerato,Baccalaureate (equivalent to A levels),,,el,el Bachillerato,,,AQA,People and lifestyle,Education and work,both,
es,n (f),"la bicicleta, bici","bicycle, bike",,,la,"la bicicleta, bici",,,AQA,People and lifestyle,Education and work,both,
es,n (m),el café,"coffee, cafe",,,el,el café,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la vida,life,,,la,la vida,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la mano,hand,,,la,la mano,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el ojo,eye,,,el,el ojo,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la agua,water,,,la,la agua,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el amigo,friend,,,el,el amigo,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,morir,(to) die | dying,,,,morir,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el cuerpo,body,,,el,el cuerpo,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,caer; caerse,(to) fall | falling; (to) fall over | falling over,,,,caer; caerse,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,cambiar; cambiarse,(to) change | changing; (to) get changed | getting changed,,,,cambiar; cambiarse,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la cabeza,head (body part),,,la,la cabeza,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el amor,love,,,el,el amor,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el partido,"(sports) match, (political) party",,,el,el partido,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el hermano,brother,,,el,el hermano,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el campo,"countryside, pitch, field",,,el,el campo,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,correr,(to) run | running,,,,correr,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,comer,(to) eat | eating,,,,comer,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la sociedad,society,,,la,la sociedad,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,levantar; levantarse,(to) raise | raising; (to) get up | getting up,,,,levantar; levantarse,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,jugar,(to) play (sport/game) | playing (sport/game),,,,jugar,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el juego,game,,,el,el juego,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,,(I) play | (I) am playing,,,,,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,juegas,(you) play | (you) are playing,,,,juegas,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,juega,"(she, he, it, one) plays | (she, he, it, one) is playing | (you (sing formal)) play | Play! (you (sing informal))",,,,juega | ijuega!,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,juegan,(they) play | (they) are playing,,,,juegan,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el pie; a pie,foot; on foot,,,el,el pie; a pie,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el equipo,"team, equipment",,,el,el equipo,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el sol,sun,,,el,el sol,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el producto,product,,,el,el producto,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,adj,rico,"rich, wealthy, tasty",,,,rico,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el aire,air,,,el,el aire,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,dormir; dormirse,(to) sleep | sleeping; (to) fall asleep | falling asleep,,,,dormir; dormirse,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m/f),joven,"teenager, young person",,,,joven,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,adj,fuerte,strong,,,,fuerte,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el artículo,"article, product, item",,,el,el artículo,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el sueño,"dream, sleep",,,el,el sueño,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el corazón,heart,,,el,el corazón,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la carrera,"career, (university) degree course, race",,,la,la carrera,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el peso,"weight, peso (currency)",,,el,el peso,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el miembro,member,,,el,el miembro,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,participar,(to) participate | participating,,,,participar,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la enfermedad,"illness, disease",,,la,la enfermedad,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la salud,health,,,la,la salud,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,adj,responsable,responsible,,,,responsable,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la energía,"energy, power",,,la,la energía,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,apoyar,(to) support | supporting,,,,apoyar,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la piel,skin,,,la,la piel,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m/f),médico,doctor,,,,médico,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,adj,físico,physical,,,,físico,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,cuidar,(to) take care of | taking care of,,,,cuidar,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,v,costar,"(to) cost, be hard | costing, being hard",,,,costar,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,adj,serio,serious,,,,serio,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la carne,meat,,,la,la carne,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el pelo,hair,,,el,el pelo,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el riesgo,risk,,,el,el riesgo,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (m),el perro,dog,,,el,el perro,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
es,n (f),la comida,"food, meal, lunch",,,la,la comida,,,AQA,People and lifestyle,Healthy living and lifestyle,both,
