word,translation,language,category,subcategory,part_of_speech,difficulty_level,curriculum_level,example_sentence,example_translation,phonetic,gender,irregular_forms,synonyms,antonyms,tags,article,base_word,,_20
qu'est-ce qui se passe?,what's happening?,fr,basics_core_language,common_phrases,phrase,beginner,KS3,"Salut, qu'est-ce qui se passe ?","Hello, what's happening?",/kɛs ki sə pas/,,,,,conversation;informal,,qu'est-ce qui se passe?,,
bien sûr,of course,fr,basics_core_language,common_phrases,phrase,beginner,KS3,Puis-je venir avec vous ? – Bien sûr.,Can I come with you? – Of course.,/bjɛ̃ syʁ/,,,évidemment,,confirmation;polite,,bien sûr,,
évidemment,of course,fr,basics_core_language,common_phrases,adverb,beginner,KS3,Venez-vous demain ? – Évidemment !,Are you coming tomorrow? – Of course!,/e.vi.da.mɑ̃/,,,bien sûr,,confirmation;casual,,évidemment,,
je ne comprends pas,I don't understand,fr,basics_core_language,common_phrases,phrase,beginner,KS3,"Désolé, je ne comprends pas.","Sorry, I don't understand.",/ʒə nə kɔ̃.pʁɑ̃ pa/,,,,,learning;response,,je ne comprends pas,,
je ne sais pas,I don't know,fr,basics_core_language,common_phrases,phrase,beginner,KS3,Je ne sais pas la réponse.,I don't know the answer.,/ʒə nə sɛ pa/,,,,,learning;response,,je ne sais pas,,
pouvez-vous répéter?,can you repeat?,fr,basics_core_language,common_phrases,phrase,beginner,KS3,"Pouvez-vous répéter, s'il vous plaît ?","Can you repeat, please?",/pu.ve vu ʁe.pe.te/,,,,,classroom;polite;formal,,pouvez-vous répéter?,,
j'aime,I like,fr,basics_core_language,opinions,phrase,beginner,KS3,J'aime le chocolat.,I like chocolate.,/ʒɛm/,,,,je n'aime pas,opinion;preference,,j'aime,,
je n'aime pas,I don't like,fr,basics_core_language,opinions,phrase,beginner,KS3,Je n'aime pas le poisson.,I don't like fish.,/ʒə nɛm pa/,,,,j'aime,opinion;preference,,je n'aime pas,,
j'adore,I love,fr,basics_core_language,opinions,phrase,beginner,KS3,J'adore danser.,I love dancing.,/ʒa.dɔʁ/,,,,je déteste,opinion;preference,,j'adore,,
je déteste,I hate,fr,basics_core_language,opinions,phrase,beginner,KS3,Je déteste les araignées.,I hate spiders.,/ʒə de.tɛst/,,,j'ai horreur de,j'adore,opinion;strong,,je déteste,,
je préfère,I prefer,fr,basics_core_language,opinions,phrase,beginner,KS3,Je préfère le thé au café.,I prefer tea to coffee.,/ʒə pʁe.fɛʁ/,,,,,opinion;choice,,je préfère,,
je pense que,I think that,fr,basics_core_language,opinions,phrase,beginner,KS3,Je pense que c'est une bonne idée.,I think that it's a good idea.,/ʒə pɑ̃s kə/,,,je crois que,,opinion;thought,,je pense que,,
je crois que,I believe that,fr,basics_core_language,opinions,phrase,beginner,KS3,Je crois que vous avez raison.,I believe you are right.,/ʒə kʁwa kə/,,,je pense que,,opinion;belief,,je crois que,,
à mon avis,in my opinion,fr,basics_core_language,opinions,phrase,beginner,KS3,"À mon avis, c'est mieux comme ça.","In my opinion, it's better this way.",/a mɔ̃n‿a.vi/,,,,,opinion;personal,,à mon avis,,
il me semble,I think/it seems,fr,basics_core_language,opinions,phrase,beginner,KS3,Il me semble que c'est un bon film.,I think it's a good film.,/il mə sɑ̃bl/,,,,,opinion;assessment,,il me semble,,
un,one,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,J'ai un frère.,I have one brother.,/œ̃/,m,,,,number;basic,un,un,,
une,one,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,J'ai une sœur.,I have one sister.,/yn/,f,,,,number;basic,une,une,,
deux,two,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Je veux deux pommes.,I want two apples.,/dø/,,,,,number;basic,,deux,,
trois,three,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,J'habite au troisième étage.,I live on the third floor.,/tʁwa/,,,,,number;basic,,trois,,
quatre,four,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,J'ai quatre livres.,I have four books.,/katʁ/,,,,,number;basic,,quatre,,
cinq,five,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Le cours commence à cinq heures.,Class starts at five.,/sɛ̃k/,,,,,number;basic,,cinq,,
six,six,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Le train arrive à six heures.,The train arrives at six.,/sis/,,,,,number;basic,,six,,
sept,seven,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Il y a sept étudiants en classe.,There are seven students in class.,/sɛt/,,,,,number;basic,,sept,,
huit,eight,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Je travaille huit heures par jour.,I work eight hours a day.,/ɥit/,,,,,number;basic,,huit,,
neuf,nine,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Le magasin ouvre à neuf heures.,The shop opens at nine.,/nœf/,,,,,number;basic,,neuf,,
dix,ten,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Dix personnes sont venues.,Ten people came.,/dis/,,,,,number;basic,,dix,,
onze,eleven,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Il y a onze tables au restaurant.,There are eleven tables in the restaurant.,/ɔ̃z/,,,,,number;basic,,onze,,
douze,twelve,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Le film commence à douze heures.,The film starts at twelve.,/duz/,,,,,number;basic,,douze,,
treize,thirteen,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,J'ai treize ans.,I am thirteen years old.,/tʁɛz/,,,,,number;basic,,treize,,
quatorze,fourteen,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Il y a quatorze jours dans deux semaines.,There are fourteen days in two weeks.,/ka.tɔʁz/,,,,,number;basic,,quatorze,,
quinze,fifteen,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,La réunion dure quinze minutes.,The meeting lasts fifteen minutes.,/kɛ̃z/,,,,,number;basic,,quinze,,
seize,sixteen,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Elle a seize ans.,She is sixteen years old.,/sɛz/,,,,,number;basic,,seize,,
dix-sept,seventeen,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Le bus part à dix-sept heures.,The bus leaves at seventeen o'clock.,/dis sɛt/,,,,,number;basic,,dix-sept,,
dix-huit,eighteen,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,Il a dix-huit ans.,He is eighteen years old.,/di.z‿ɥit/,,,,,number;basic,,dix-huit,,
dix-neuf,nineteen,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,La classe finit à dix-neuf heures.,Class ends at nineteen o'clock.,/diz nœf/,,,,,number;basic,,dix-neuf,,
vingt,twenty,fr,basics_core_language,numbers_1_20,numeral,beginner,KS3,J'ai vingt euros.,I have twenty euros.,/vɛ̃/,,,,,number;basic,,vingt,,
trente,thirty,fr,basics_core_language,numbers_1_50,numeral,beginner,KS3,Il fait trente degrés.,It's thirty degrees.,/tʁɑ̃t/,,,,,number;basic,,trente,,
quarante,forty,fr,basics_core_language,numbers_1_50,numeral,beginner,KS3,Elle travaille quarante heures par semaine.,She works forty hours per week.,/ka.ʁɑ̃t/,,,,,number;basic,,quarante,,
cinquante,fifty,fr,basics_core_language,numbers_1_50,numeral,beginner,KS3,Le livre coûte cinquante euros.,The book costs fifty euros.,/sɛ̃.kɑ̃t/,,,,,number;basic,,cinquante,,
soixante,sixty,fr,basics_core_language,numbers_1_50,numeral,beginner,KS3,Ma grand-mère a soixante ans.,My grandmother is sixty years old.,/swa.sɑ̃t/,,,,,number;basic,,soixante,,
soixante-dix,seventy,fr,basics_core_language,numbers_1_50,numeral,beginner,KS3,Il pèse soixante-dix kilos.,He weighs seventy kilos.,/swa.sɑ̃t dis/,,,,,number;basic,,soixante-dix,,
quatre-vingts,eighty,fr,basics_core_language,numbers_1_50,numeral,beginner,KS3,Le voyage dure quatre-vingts minutes.,The trip lasts eighty minutes.,/ka.tʁə vɛ̃/,,,,,number;basic,,quatre-vingts,,
quatre-vingt-dix,ninety,fr,basics_core_language,numbers_1_50,numeral,beginner,KS3,Elle a quatre-vingt-dix ans.,She is ninety years old.,/ka.tʁə vɛ̃ dis/,,,,,number;basic,,quatre-vingt-dix,,
cent,hundred,fr,basics_core_language,numbers_1_100,numeral,beginner,KS3,Cela coûte cent euros.,That costs one hundred euros.,/sɑ̃/,,,,,number;basic,,cent,,
mille,thousand,fr,basics_core_language,numbers_1_100,numeral,beginner,KS3,Il y a mille habitants.,There are a thousand inhabitants.,/mil/,,,,,number;basic,,mille,,
lundi,Monday,fr,basics_core_language,days,noun,beginner,KS3,Je travaille lundi.,I work on Monday.,/lœ̃.di/,m,,,,time;weekday,le,lundi,,
mardi,Tuesday,fr,basics_core_language,days,noun,beginner,KS3,Mardi est un jour occupé.,Tuesday is a busy day.,/maʁ.di/,m,,,,time;weekday,le,mardi,,
mercredi,Wednesday,fr,basics_core_language,days,noun,beginner,KS3,Mercredi je vais au cinéma.,Wednesday I'm going to the cinema.,/mɛʁ.kʁə.di/,m,,,,time;weekday,le,mercredi,,
jeudi,Thursday,fr,basics_core_language,days,noun,beginner,KS3,Jeudi j'ai rendez-vous chez le médecin.,Thursday I have a doctor's appointment.,/ʒø.di/,m,,,,time;weekday,le,jeudi,,
vendredi,Friday,fr,basics_core_language,days,noun,beginner,KS3,Vendredi c'est le dernier jour de travail.,Friday is the last day of work.,/vɑ̃.dʁə.di/,m,,,,time;weekday,le,vendredi,,
samedi,Saturday,fr,basics_core_language,days,noun,beginner,KS3,Samedi je me repose.,Saturday I rest.,/sam.di/,m,,,,time;weekend,le,samedi,,
dimanche,Sunday,fr,basics_core_language,days,noun,beginner,KS3,Dimanche nous visitons la famille.,Sunday we visit family.,/di.mɑ̃ʃ/,m,,,,time;weekend,le,dimanche,,
janvier,January,fr,basics_core_language,months,noun,beginner,KS3,Il fait froid en janvier.,It's cold in January.,/ʒɑ̃.vje/,m,,,,time;month,le,janvier,,
février,February,fr,basics_core_language,months,noun,beginner,KS3,Février est un mois court.,February is a short month.,/fe.vʁi.je/,m,,,,time;month,le,février,,
mars,March,fr,basics_core_language,months,noun,beginner,KS3,Mars est le début du printemps.,March is the beginning of spring.,/maʁs/,m,,,,time;month,le,mars,,
avril,April,fr,basics_core_language,months,noun,beginner,KS3,En avril il pleut souvent.,It often rains in April.,/a.vʁil/,m,,,,time;month,l',avril,,
mai,May,fr,basics_core_language,months,noun,beginner,KS3,Les fleurs poussent en mai.,Flowers grow in May.,/mɛ/,m,,,,time;month,le,mai,,
juin,June,fr,basics_core_language,months,noun,beginner,KS3,Juin est un mois ensoleillé.,June is a sunny month.,/ʒɥɛ̃/,m,,,,time;month,le,juin,,
juillet,July,fr,basics_core_language,months,noun,beginner,KS3,Juillet est très chaud.,July is very hot.,/ʒɥi.jɛ/,m,,,,time;month,le,juillet,,
août,August,fr,basics_core_language,months,noun,beginner,KS3,Nous partons en vacances en août.,We go on vacation in August.,/u/,m,,,,time;month,l',août,,
septembre,September,fr,basics_core_language,months,noun,beginner,KS3,L'école recommence en septembre.,School starts again in September.,/sɛp.tɑ̃bʁ/,m,,,,time;month,le,septembre,,
octobre,October,fr,basics_core_language,months,noun,beginner,KS3,Les feuilles tombent en octobre.,The leaves fall in October.,/ɔk.tɔbʁ/,m,,,,time;month,l',octobre,,
novembre,November,fr,basics_core_language,months,noun,beginner,KS3,Il fait gris en novembre.,It's gray in November.,/no.vɑ̃bʁ/,m,,,,time;month,le,novembre,,
décembre,December,fr,basics_core_language,months,noun,beginner,KS3,Décembre est le mois de Noël.,December is the month of Christmas.,/de.sɑ̃bʁ/,m,,,,time;month,le,décembre,,
rouge,red,fr,basics_core_language,colours,adjective,beginner,KS3,La voiture est rouge.,The car is red.,/ʁuʒ/,mf,,,,colour,,rouge,,
bleu,blue,fr,basics_core_language,colours,adjective,beginner,KS3,Le ciel est bleu.,The sky is blue.,/blø/,m,,bleue,rouge,colour,,bleu,,
bleue,blue,fr,basics_core_language,colours,adjective,beginner,KS3,La mer est bleue.,The sea is blue.,/blø/,f,,,rouge,colour,,bleue,,
vert,green,fr,basics_core_language,colours,adjective,beginner,KS3,L'herbe est verte.,The grass is green.,/vɛʁ/,m,,verte,rouge,colour,,vert,,
verte,green,fr,basics_core_language,colours,adjective,beginner,KS3,La pomme est verte.,The apple is green.,/vɛʁt/,f,,,rouge,colour,,verte,,
jaune,yellow,fr,basics_core_language,colours,adjective,beginner,KS3,Le soleil est jaune.,The sun is yellow.,/ʒon/,mf,,,violet,colour,,jaune,,
orange,orange,fr,basics_core_language,colours,adjective,beginner,KS3,L'orange est orange.,The orange is orange.,/o.ʁɑ̃ʒ/,mf,,,bleu,colour,,orange,,
violet,purple,fr,basics_core_language,colours,adjective,beginner,KS3,La fleur est violette.,The flower is purple.,/vjo.lɛ/,m,,violette,jaune,colour,,violet,,
violette,purple,fr,basics_core_language,colours,adjective,beginner,KS3,La robe est violette.,The dress is purple.,/vjo.lɛt/,f,,,jaune,colour,,violette,,
rose,pink,fr,basics_core_language,colours,adjective,beginner,KS3,Le t-shirt est rose.,The t-shirt is pink.,/ʁoz/,mf,,,noir,colour,,rose,,
noir,black,fr,basics_core_language,colours,adjective,beginner,KS3,Le chat est noir.,The cat is black.,/nwaʁ/,m,,noire,blanc,colour,,noir,,
noire,black,fr,basics_core_language,colours,adjective,beginner,KS3,La voiture est noire.,The car is black.,/nwaʁ/,f,,,blanc,colour,,noire,,
blanc,white,fr,basics_core_language,colours,adjective,beginner,KS3,Le mur est blanc.,The wall is white.,/blɑ̃/,m,,blanche,noir,colour,,blanc,,
blanche,white,fr,basics_core_language,colours,adjective,beginner,KS3,La neige est blanche.,The snow is white.,/blɑ̃ʃ/,f,,,noir,colour,,blanche,,
gris,grey,fr,basics_core_language,colours,adjective,beginner,KS3,Le ciel est gris.,The sky is grey.,/gʁi/,m,,grise,,colour,,gris,,
grise,grey,fr,basics_core_language,colours,adjective,beginner,KS3,La souris est grise.,The mouse is grey.,/gʁiz/,f,,,,colour,,grise,,
marron,brown,fr,basics_core_language,colours,adjective,beginner,KS3,Le chien est marron.,The dog is brown.,/ma.ʁɔ̃/,mf,,,blanc,colour,,marron,,
je,I,fr,identity_personal_life,physical_personality_descriptions,pronoun,beginner,KS3,Je suis étudiant.,I am a student.,/ʒə/,,,,,pronoun;personal,,je,,
tu,you,fr,identity_personal_life,physical_personality_descriptions,pronoun,beginner,KS3,Tu es gentil.,You are kind.,/ty/,,,,,pronoun;personal;informal,,tu,,
il,he,fr,identity_personal_life,physical_personality_descriptions,pronoun,beginner,KS3,Il est grand.,He is tall.,/il/,,,,,pronoun;personal;masculine,,il,,
elle,she,fr,identity_personal_life,physical_personality_descriptions,pronoun,beginner,KS3,Elle est intelligente.,She is intelligent.,/ɛl/,,,,,pronoun;personal;feminine,,elle,,
nous,we,fr,identity_personal_life,physical_personality_descriptions,pronoun,beginner,KS3,Nous sommes amis.,We are friends.,/nu/,,,,,pronoun;personal,,nous,,
vous,you,fr,identity_personal_life,physical_personality_descriptions,pronoun,beginner,KS3,Vous êtes professeur.,You are a teacher.,/vu/,,,,,pronoun;personal;formal,,vous,,
ils,they,fr,identity_personal_life,physical_personality_descriptions,pronoun,beginner,KS3,Ils sont étudiants.,They are students.,/il/,,,,,pronoun;personal;masculine,,ils,,
elles,they,fr,identity_personal_life,physical_personality_descriptions,pronoun,beginner,KS3,Elles sont françaises.,They are French.,/ɛl/,,,,,pronoun;personal;feminine,,elles,,
je suis,I am,fr,identity_personal_life,physical_personality_descriptions,verb,beginner,KS3,Je suis français.,I am French.,/ʒə sɥi/,,,,,identity;verb,,je suis,,
grand,tall,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mon frère est grand.,My brother is tall.,/ɡʁɑ̃/,m,,grande,petit,description,,grand,,
grande,tall,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Ma sœur est grande.,My sister is tall.,/ɡʁɑ̃d/,f,,,petite,description,,grande,,
petit,small/short,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Le chien est petit.,The dog is small.,/pə.ti/,m,,petite,grand,description,,petit,,
petite,small/short,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,La fille est petite.,The girl is small.,/pə.tit/,f,,,grande,description,,petite,,
gros,big/fat,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Le chat est gros.,The cat is fat.,/ɡʁo/,m,,grosse,mince,description,,gros,,
grosse,big/fat,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,La vache est grosse.,The cow is fat.,/ɡʁos/,f,,,mince,description,,grosse,,
mince,thin,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Elle est très mince.,She is very thin.,/mɛ̃s/,mf,,,gros,description,,mince,,
jeune,young,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Il est jeune.,He is young.,/ʒœn/,mf,,,vieux,description,,jeune,,
vieux,old,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mon grand-père est vieux.,My grandfather is old.,/vjø/,m,,vieille,jeune,description,,vieux,,
vieille,old,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Ma grand-mère est vieille.,My grandmother is old.,/vjɛj/,f,,,jeune,description,,vieille,,
beau,beautiful/handsome,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Il est beau.,He is handsome.,/bo/,m,,belle,laid,description,,beau,,
belle,beautiful,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Elle est belle.,She is beautiful.,/bɛl/,f,,,laide,description,,belle,,
laid,ugly,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Ce bâtiment est laid.,This building is ugly.,/lɛ/,m,,laide,beau,description,,laid,,
laide,ugly,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Cette robe est laide.,This dress is ugly.,/lɛd/,f,,,belle,description,,laide,,
intelligent,intelligent,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Il est très intelligent.,He is very intelligent.,/ɛ̃.te.li.ʒɑ̃/,m,,intelligente,stupide,description,,intelligent,,
intelligente,intelligent,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Elle est intelligente.,She is intelligent.,/ɛ̃.te.li.ʒɑ̃t/,f,,,stupide,description,,intelligente,,
stupide,stupid,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Cette idée est stupide.,This idea is stupid.,/sty.pid/,mf,,,intelligent,description,,stupide,,
sympa,nice/friendly,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mon ami est très sympa.,My friend is very nice.,/sɛ̃.pa/,mf,,gentil,méchant,description;informal,,sympa,,
gentil,kind,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Il est gentil.,He is kind.,/ʒɑ̃.ti/,m,,gentille,méchant,description,,gentil,,
gentille,kind,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Elle est gentille.,She is kind.,/ʒɑ̃.tij/,f,,,méchante,description,,gentille,,
méchant,mean,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Le garçon est méchant.,The boy is mean.,/me.ʃɑ̃/,m,,méchante,gentil,description,,méchant,,
méchante,mean,fr,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Cette fille est méchante.,This girl is mean.,/me.ʃɑ̃t/,f,,,gentille,description,,méchante,,
âge,age,fr,identity_personal_life,physical_personality_descriptions,noun,beginner,KS3,Quel âge avez-vous ?,What age are you?,/aʒ/,m,,,,description,l',âge,,
j'ai,I have,fr,identity_personal_life,physical_personality_descriptions,verb,beginner,KS3,J'ai dix-huit ans.,I am eighteen years old.,/ʒɛ/,,,,,identity;verb,,j'ai,,
ans,years old,fr,identity_personal_life,physical_personality_descriptions,noun,beginner,KS3,J'ai vingt ans.,I am twenty years old.,/ɑ̃/,m,,,,age;time,,ans,,
anniversaire,birthday,fr,identity_personal_life,physical_personality_descriptions,noun,beginner,KS3,C'est mon anniversaire aujourd'hui.,It's my birthday today.,/a.ni.vɛʁ.sɛʁ/,m,,,,celebration,l',anniversaire,,
famille,family,fr,identity_personal_life,family_friends,noun,beginner,KS3,Ma famille est grande.,My family is big.,/fa.mij/,f,,,,,family,la,,
père,father,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon père travaille.,My father works.,/pɛʁ/,m,,papa,mère,family,le,père,,
papa,dad,fr,identity_personal_life,family_friends,noun,beginner,KS3,"Papa, où es-tu ?","Dad, where are you?",/pa.pa/,m,,,maman,family,le,papa,,
mère,mother,fr,identity_personal_life,family_friends,noun,beginner,KS3,Ma mère cuisine bien.,My mother cooks well.,/mɛʁ/,f,,maman,père,family,la,mère,,
maman,mom,fr,identity_personal_life,family_friends,noun,beginner,KS3,"Maman, j'ai faim.","Mom, I'm hungry.",/ma.mɑ̃/,f,,,papa,family,la,maman,,
frère,brother,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon frère est plus âgé.,My brother is older.,/fʁɛʁ/,m,,,,family,le,frère,,
sœur,sister,fr,identity_personal_life,family_friends,noun,beginner,KS3,Ma sœur étudie à l'université.,My sister studies at university.,/sœʁ/,f,,,,family,la,sœur,,
grand-père,grandfather,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mon grand-père raconte des histoires.,My grandfather tells stories.,/ɡʁɑ̃ pɛʁ/,m,,papi,grand-mère,family,le,grand-père,,
papi,grandpa,fr,identity_personal_life,family_friends,noun,beginner,KS3,Papi a quatre-vingts ans.,Grandpa is eighty years old.,/pa.pi/,m,,,mamie,family,le,papi,,
grand-mère,grandmother,fr,identity_personal_life,family_friends,noun,beginner,KS3,Ma grand-mère fait des gâteaux.,My grandmother makes cakes.,/ɡʁɑ̃ mɛʁ/,f,,mamie,grand-père,family,la,grand-mère,,
mamie,grandma,fr,identity_personal_life,family_friends,noun,beginner,KS3,Mamie nous rend visite.,Grandma visits us.,/ma.mi/,f,,,papi,family,la,mamie,,
